Plant ID,Daily Capacity ,WH,Cost/unit
PLANT15,11,PLANT15,1.41506337668766
PLANT17,8,PLANT17,0.428946587089212
PLANT18,111,PLANT18,2.03625375980335
PLANT05,385,PLANT05,0.488144384527383
PLANT02,138,PLANT02,0.477503518927222
PLANT01,1070,PLANT01,0.566976184929562
PLANT06,49,PLANT06,0.554088097625788
PLANT10,118,PLANT10,0.493581898482945
PLANT07,265,PLANT07,0.371423937425446
PLANT14,549,PLANT14,0.634329737704667
PLANT16,457,PLANT16,1.91980750785243
PLANT12,209,PLANT12,0.773131794317886
PLANT11,332,PLANT11,0.555247290451204
PLANT09,11,PLANT09,0.465071097382935
PLANT03,1013,PLANT03,0.517501891625462
PLANT13,490,PLANT13,0.469707056581513
PLANT19,7,PLANT19,0.639762519817494
PLANT08,14,PLANT08,0.522857299196222
PLANT04,554,PLANT04,0.428503295148217
